# 127.0.0.1 display.ad.daum.net
# 127.0.0.1 analytics.ad.daum.net
127.0.0.1 hk2wns1.wns.windows.com
127.0.0.1 hk2wns1b.wns.windows.com
127.0.0.1 i-bl6p-cor001.api.p001.1drv.com
127.0.0.1 i-bl6p-cor002.api.p001.1drv.com
127.0.0.1 i-bn3p-cor001.api.p001.1drv.com
127.0.0.1 i-by3p-cor001.api.p001.1drv.com
127.0.0.1 i-by3p-cor002.api.p001.1drv.com
127.0.0.1 i-ch1-cor001.api.p001.1drv.com
127.0.0.1 i-ch1-cor002.api.p001.1drv.com
127.0.0.1 i-sn2-cor001.api.p001.1drv.com
127.0.0.1 i-sn2-cor002.api.p001.1drv.com
127.0.0.1 i-sn3p-cor001.api.p001.1drv.com
127.0.0.1 i-sn3p-cor002.api.p001.1drv.com
127.0.0.1 ieonlinews.microsoft.com
127.0.0.1 ieonlinews.trafficmanager.net
127.0.0.1 lb1.www.ms.akadns.net
127.0.0.1 live.rads.msn.com
127.0.0.1 m.adnxs.com
127.0.0.1 mobile.events.data.microsoft.com
127.0.0.1 mobile.pipe.aria.microsoft.com
127.0.0.1 modern.watson.data.microsoft.com.akadns.net
127.0.0.1 msedge.net
127.0.0.1 msntest.serving-sys.com
127.0.0.1 nexus.officeapps.live.com
127.0.0.1 nexusrules.officeapps.live.com
127.0.0.1 oca.telemetry.microsoft.com
127.0.0.1 onecollector.cloudapp.aria.akadns.net
127.0.0.1 pre.footprintpredict.com
127.0.0.1 preview.msn.com
127.0.0.1 rad.live.com
127.0.0.1 rad.msn.com
127.0.0.1 redir.metaservices.microsoft.com
127.0.0.1 reports.wes.df.telemetry.microsoft.com
127.0.0.1 schemas.microsoft.akadns.net
127.0.0.1 secure.adnxs.com
127.0.0.1 secure.flashtalking.com
127.0.0.1 self.events.data.microsoft.com
127.0.0.1 services.wes.df.telemetry.microsoft.com
127.0.0.1 settings-sandbox.data.microsoft.com
127.0.0.1 settings-win-ppe.data.microsoft.com
127.0.0.1 settings.data.glbdns2.microsoft.com
127.0.0.1 sg2p.wns.windows.com
127.0.0.1 sn3301-c.1drv.com
127.0.0.1 sn3301-e.1drv.com
127.0.0.1 sn3301-g.1drv.com
127.0.0.1 spynet2.microsoft.com
127.0.0.1 spynetalt.microsoft.com
127.0.0.1 spyneteurope.microsoft.akadns.net
127.0.0.1 sqm.df.telemetry.microsoft.com
127.0.0.1 sqm.telemetry.microsoft.com
127.0.0.1 sqm.telemetry.microsoft.com.nsatc.net
127.0.0.1 ssw.live.com
127.0.0.1 survey.watson.microsoft.com
127.0.0.1 tele.trafficmanager.net
127.0.0.1 telecommand.telemetry.microsoft.com
127.0.0.1 telemetry.appex.bing.net
127.0.0.1 telemetry.microsoft.com
127.0.0.1 telemetry.remoteapp.windowsazure.com
127.0.0.1 telemetry.urs.microsoft.com
127.0.0.1 teredo.ipv6.microsoft.com
127.0.0.1 test.activity.windows.com
127.0.0.1 umwatsonc.events.data.microsoft.com
127.0.0.1 us-v10.events.data.microsoft.com
127.0.0.1 us-v20.events.data.microsoft.com
127.0.0.1 us.vortex-win.data.microsoft.com
127.0.0.1 v10.events.data.microsoft.com
127.0.0.1 v10c.events.data.microsoft.com
127.0.0.1 v20.events.data.microsoft.com
127.0.0.1 v10.vortex-win.data.microsoft.com
127.0.0.1 v10-win.vortex.data.microsoft.com.akadns.net
127.0.0.1 v20.vortex-win.data.microsoft.com
127.0.0.1 view.atdmt.com
127.0.0.1 vortex-sandbox.data.microsoft.com
127.0.0.1 vortex-win.data.microsoft.com
127.0.0.1 vortex-win-sandbox.data.microsoft.com
127.0.0.1 vortex.data.glbdns2.microsoft.com
127.0.0.1 vortex.data.microsoft.com
127.0.0.1 watson.live.com
127.0.0.1 watson.microsoft.com
127.0.0.1 watson.ppe.telemetry.microsoft.com
127.0.0.1 watson.telemetry.microsoft.com
127.0.0.1 web.vortex.data.microsoft.com
127.0.0.1 wes.df.telemetry.microsoft.com
127.0.0.1 win10.ipv6.microsoft.com
127.0.0.1 win1710.ipv6.microsoft.com
127.0.0.1 win8.ipv6.microsoft.com
127.0.0.1 www.msedge.net
127.0.0.1 reallifecam.com
127.0.0.1 ad.smartmediarep.com
127.0.0.1 i64.tinypic.com/2j160j7.gif
127.0.0.1 oi67.tinypic.com/2mo8fg6.jpg
127.0.0.1 www.maa-030.com
127.0.0.1 i67.tinypic.com/2hmg3t5.jpg
127.0.0.1 ads.moot.us
127.0.0.1 dcnewsj.joins.com
127.0.0.1 dcimg2.dcinside.co.kr
127.0.0.1 cdn.taboolasyndication.com
127.0.0.1 imprammp.taboola.com
127.0.0.1 trc.taboolasyndication.com
127.0.0.1 vidstatb.taboola.com
127.0.0.1 vidstat.taboola.com
127.0.0.1 cdn.taboola.com
127.0.0.1 images.taboola.com
127.0.0.1 popup.taboola.com
127.0.0.1 trc.taboola.com
127.0.0.1 nr.taboola.com
127.0.0.1 api.taboola.com
127.0.0.1 c2.taboola.com
127.0.0.1 netstorage.taboola.com
127.0.0.1 taboola.com
127.0.0.1 korea.isidewith.com
127.0.0.1 taboolasyndication.com
127.0.0.1 st.chatango.com
127.0.0.1 exchange.adtrue.com
127.0.0.1 cdn.adtrue.com
127.0.0.1 wvhba6470p.com
127.0.0.1 platform.bidgear.com
127.0.0.1 patreon.com
127.0.0.1 cdn.run-syndicate.com
127.0.0.1 mgid.com
127.0.0.1 redir.bebi.com
127.0.0.1 c.bebi.com
127.0.0.1 mb.moatads.com
127.0.0.1 15.taboola.com
127.0.0.1 adtrue.com
127.0.0.1 ads.pubmatic.com
127.0.0.1 cdn.steepto.com
127.0.0.1 localsnaughty.com
127.0.0.1 cdn.playwire.com
127.0.0.1 gamescarousel.com
127.0.0.1 a.adtng.com
127.0.0.1 mtab.clickmon.co.kr
127.0.0.1 rtax.criteo.com
127.0.0.1 rsense-ad.realclick.co.kr
127.0.0.1 tab2.clickmon.co.kr
127.0.0.1 tab1.clickmon.co.kr
127.0.0.1 img10.clickmon.co.kr
127.0.0.1 img9.clickmon.co.kr
127.0.0.1 img8.clickmon.co.kr
127.0.0.1 img7.clickmon.co.kr
127.0.0.1 img6.clickmon.co.kr
127.0.0.1 img5.clickmon.co.kr
127.0.0.1 img4.clickmon.co.kr
127.0.0.1 img3.clickmon.co.kr
127.0.0.1 img2.clickmon.co.kr
127.0.0.1 img1.clickmon.co.kr
127.0.0.1 img.clickmon.co.kr
127.0.0.1 click.clickmon.co.kr
127.0.0.1 www.clickmon.co.kr
127.0.0.1 click.interich.com
127.0.0.1 aitg.widerplanet.com
127.0.0.1 adtg.widerplanet.com
127.0.0.1 itg.realclick.co.kr
127.0.0.1 hcimg.realclick.co.kr
127.0.0.1 mdimg.realclick.co.kr
127.0.0.1 dspimg.realclick.co.kr
127.0.0.1 adcrm.co.kr
127.0.0.1 adddn.adotsolution.com
127.0.0.1 adver1.clickmon.co.kr
127.0.0.1 adver2.clickmon.co.kr
127.0.0.1 adver3.clickmon.co.kr
127.0.0.1 adver4.clickmon.co.kr
127.0.0.1 adver5.clickmon.co.kr
127.0.0.1 adver6.clickmon.co.kr
127.0.0.1 adver7.clickmon.co.kr
127.0.0.1 adver8.clickmon.co.kr
127.0.0.1 adver9.clickmon.co.kr
127.0.0.1 adver10.clickmon.co.kr
127.0.0.1 adver11.clickmon.co.kr
127.0.0.1 cdn-exchangetoastoven.net
127.0.0.1 script.theprimead.co.kr
127.0.0.1 www.realclick.co.kr
127.0.0.1 realadr.realclick.co.kr
127.0.0.1 nw.realssp.co.kr
127.0.0.1 nscreen.neoebiz.co.kr
127.0.0.1 ad.adkova.com
127.0.0.1 ad.impactify.io
127.0.0.1 ads.stickyadstv.com
127.0.0.1 www.dreamsearch.or.kr
127.0.0.1 adcr.naver.com
127.0.0.1 ad.naver.com
127.0.0.1 adimg3.search.naver.net
127.0.0.1 commaa.com
127.0.0.1 lcs.naver.com
127.0.0.1 naver-smr.smartmediarep.com
127.0.0.1 nv1.adcreative.naver.net
127.0.0.1 nv2.adcreative.naver.net
127.0.0.1 qclub.co.kr
127.0.0.1 tvetamovie.dn.naver.net
127.0.0.1 updateserver.cf
127.0.0.1 webnaverblog.kr
127.0.0.1 www.mussoi.com
127.0.0.1 www.naver-news.com
127.0.0.1 www.sinjum114.com
127.0.0.1 1-ps.googleusercontent.com
127.0.0.1 1.googlenews.xorg.pl
127.0.0.1 2.googlenews.xorg.pl
127.0.0.1 3.googlenews.xorg.pl
127.0.0.1 4.afs.googleadservices.com
127.0.0.1 4.googlenews.xorg.pl
127.0.0.1 5.googlenews.xorg.pl
127.0.0.1 ad-creatives-public.commondatastorage.googleapis.com
127.0.0.1 ads.google.com
127.0.0.1 adservices.google.com
127.0.0.1 advgoogle.com
127.0.0.1 afs.googlesyndication.com
127.0.0.1 afs.googleusercontent.com
127.0.0.1 alert.google.play.funnyflag.info
127.0.0.1 analytics-api-samples.googlecode.com
127.0.0.1 analytics.google.com
127.0.0.1 attributiontrackingga.googlecode.com
127.0.0.1 c.googleanalitics.net
127.0.0.1 clients1.google.com
127.0.0.1 domains.googlesyndication.com
127.0.0.1 feedads.googleadservices.com
127.0.0.1 gg.google.com
127.0.0.1 google-analistyc.net
127.0.0.1 google-analystiks.us
127.0.0.1 google-analytics.cc
127.0.0.1 google-analytics.com
127.0.0.1 google-analytlcs.com
127.0.0.1 google-analyze.cn
127.0.0.1 google-analyze.org
127.0.0.1 google-hostcom.ru
127.0.0.1 google-moogle.com
127.0.0.1 google-reseach.com
127.0.0.1 google-search.ru
127.0.0.1 google.tucows.com
127.0.0.1 googleads.g.doubleclick.net
127.0.0.1 googleads2.g.doubleclick.net
127.0.0.1 googleadsense.ya.com
127.0.0.1 googleadservices.com
127.0.0.1 googleanalyticsclicks.com
127.0.0.1 googleanalytlcs.com
127.0.0.1 googleanalytlcs.net
127.0.0.1 googleclear.com
127.0.0.1 googlefastfind.info
127.0.0.1 googlehosting.ru
127.0.0.1 googlenews.xorg.pl
127.0.0.1 googlesyndication.com
127.0.0.1 googletagmanager.com
127.0.0.1 googlezet.net
127.0.0.1 googlle.in
127.0.0.1 googlnet.info
127.0.0.1 googlus.com
127.0.0.1 id.google.com
127.0.0.1 imageads.googleadservices.com
127.0.0.1 imageads1.googleadservices.com
127.0.0.1 imageads2.googleadservices.com
127.0.0.1 imageads3.googleadservices.com
127.0.0.1 imageads4.googleadservices.com
127.0.0.1 imageads5.googleadservices.com
127.0.0.1 imageads6.googleadservices.com
127.0.0.1 imageads7.googleadservices.com
127.0.0.1 imageads8.googleadservices.com
127.0.0.1 imageads9.googleadservices.com
127.0.0.1 imasdk.googleapis.com
127.0.0.1 myscoop-tracking.googlecode.com
127.0.0.1 pagead.googlesyndication.com
127.0.0.1 pagead.l.google.com
127.0.0.1 pagead2.googleadservices.com
127.0.0.1 pagead2.googlesyndication.com
127.0.0.1 partner.googleadservices.com
127.0.0.1 partnerad.l.google.com
127.0.0.1 ssl.google-analytics.com
127.0.0.1 tpc.googlesyndication.com
127.0.0.1 tpc.googlesyndication.com.proxy.c9w.net
127.0.0.1 tpcnc.googlesyndication.com
127.0.0.1 trakksocial.googlecode.com
127.0.0.1 video-stats.video.google.com
127.0.0.1 wintricksbanner.googlepages.com
127.0.0.1 www-google-analytics.l.google.com
127.0.0.1 www.e-googles.com
127.0.0.1 www.google-analytics.com
127.0.0.1 www.google-moogle.com
127.0.0.1 www.google.com.1.302br.net
127.0.0.1 www.googleadservices.com
127.0.0.1 www.googleanalitics.net
127.0.0.1 www.googletagmanager.com
127.0.0.1 www.googletagservices.com
127.0.0.1 www.mygooglepagerank.com
127.0.0.1 www.porn-google.com
127.0.0.1 ad.daum.net
127.0.0.1 adclix.daum.net
127.0.0.1 adclixad.daum.net
127.0.0.1 adimg.daumcdn.net
127.0.0.1 alea.adam.ad.daum.net
127.0.0.1 alea.adam.daum.net
127.0.0.1 amsimg.daum-img.net
127.0.0.1 amsv1.daum.net
127.0.0.1 amsv2.daum.net
127.0.0.1 c1.adtc.daum.net
127.0.0.1 clix.bizshop.daum.net
127.0.0.1 clixad.daum.net
127.0.0.1 daumdn.com
127.0.0.1 daumkakao-smr.smartmediarep.com
127.0.0.1 i1.shop.daumcdn.net
127.0.0.1 i2.shop.daumcdn.net
127.0.0.1 image.bizshop.daum.net
127.0.0.1 in.cdn.videofarm.daum.net
127.0.0.1 keyword.daumdn.com
127.0.0.1 log.inside.daum.net
127.0.0.1 m.adtc.daum.net
127.0.0.1 m.spot.streamer.videofarm.daum.net
127.0.0.1 mobile.biz.daum.net
127.0.0.1 smr.tvpot.daum.net
127.0.0.1 spot.streamer.videofarm.daum.net
127.0.0.1 statistics.videofarm.daum.net
127.0.0.1 t1.shop.daumcdn.net
127.0.0.1 t2.shop.daumcdn.net
127.0.0.1 tracker.mobile.biz.daum.net
127.0.0.1 vads-api.ad.daum.net
127.0.0.1 vads-api.daumkakao.com
127.0.0.1 www.daummeil.net
127.0.0.1 160716.myq-see.com
127.0.0.1 dd0s3r.zapto.org
127.0.0.1 ads.youtube.com
127.0.0.1 ehg-youtube.hitbox.com
127.0.0.1 s.youtube.com
127.0.0.1 ssl-youtube.2cnt.net
127.0.0.1 www.youtube-b.com
127.0.0.1 youtube-b.com
127.0.0.1 youtube-top-video.com
127.0.0.1 youtube.2cnt.net
127.0.0.1 youtube.com-prizes.com
